OCCUPANCY_DATE,SHELTER_NAME,SECTOR,OCCUPANCY,CAPACITY
2018-01-03,HFS - Kennedy Shelter,Women,88,90
2018-01-03,HFS - Savard's Womens' Shelter,Women,28,30
2018-01-03,HFS - Scarborough Shelter,Co-ed,67,67
2018-01-03,HFS - Strachan House,Co-ed,5,5
2018-01-03,HFS - Strachan House,Co-ed,82,83
2018-01-03,Horizons for Youth,Youth,43,45
2018-01-03,Kennedy House Youth shelter,Youth,40,40
2018-01-03,Na-Me-Res,Men,71,71
2018-01-03,Na-Me-Res,Men,19,20
2018-01-03,Eagles Nest Transition House,Youth,11,12
2018-01-03,SVDP - Amelie House,Women,20,20
2018-01-03,SVDP - Elisa House,Women,39,40
2018-01-03,SVDP - Mary's Home,Women,6,6
2018-01-03,SVDP - Mary's Home,Women,37,38
2018-01-03,SVDP - St. Clare's Residence,Women,30,30
2018-01-03,St. Simon's Shelter,Men,5,5
2018-01-03,St. Simon's Shelter,Men,57,57
2018-01-03,Street Haven,Women,46,46
2018-01-03,Street Haven,Women,4,4
2018-01-03,Sojourn House,Families,90,76
2018-01-03,Sojourn House,Co-ed,83,85
2018-01-03,Salvation Army - Evangeline Res,Women,9,9
2018-01-03,Salvation Army - Evangeline Res,Women,89,90
2018-01-03,Salvation Army - Florence Booth,Women,4,4
2018-01-03,Salvation Army - Florence Booth,Women,60,60
2018-01-03,Salvation Army - Gateway,Men,12,12
2018-01-03,Salvation Army - Gateway,Men,108,108
2018-01-03,Salvation Army - Hope,Men,0,0
2018-01-03,Salvation Army - Hope,Men,0,0
2018-01-03,Salvation Army - Maxwell Meighen,Men,43,45
2018-01-03,Salvation Army - Maxwell Meighen,Men,18,18
2018-01-03,Salvation Army - Maxwell Meighen,Men,270,270
2018-01-03,Salvation Army - Maxwell Meighen,Men,10,10
2018-01-03,Scott Mission Men's Ministry,Men,19,19
2018-01-03,Scott Mission Men's Ministry,Men,53,53
2018-01-03,Toronto Community Hostel,Co-ed,11,13
2018-01-03,Toronto Community Hostel,Families,11,14
2018-01-03,Turning Point Youth Services,Youth,35,35
2018-01-03,Univ Settlement House - OOTC,Co-ed,0,85
2018-01-03,Red Door Queen Street,Families,99,98
2018-01-03,YMCA House,Youth,40,40
2018-01-03,YMCA Sprott House,Youth,24,25
2018-01-03,YWCA - First Stop Woodlawn,Women,28,28
2018-01-03,YWCA - First Stop Woodlawn,Youth,27,28
2018-01-03,Youth Without Shelter,Youth,33,33
